id,premise,hypothesis,lang_abv,language,label
5130fd2cb5,and these comments were considered in formulating the interim rules.,the rules developed in the interim were put together with these comments in mind.,en,english,0
5b72532a0b,"these are issues that we wrestle with in practice groups of law firms, she said.",practice groups are not permitted to work on these issues.,en,english,2
3931fbe82a,little things like these make a huge difference in what i try to do.,i was trying to do something.,fr,french,0
5622f0c60b,you know they can't really defend themselves like somebody grown uh say my age you know yeah,they can't defend themselves because of their age.,en,english,0
86aaa48b45,"in playing roles as well the opportunity to show and play many roles at the same time may help children catch the similarities and differences between people in their desire, beliefs and feelings.",children can see how different ethnicity.,th,thai,1
ed7d6a1e62,on a farm you may hear that someone says we should cut these tubs closed.,people on the farm use different terms.,tr,turkish,0
5a0f4908a0,"upon returning to the united states, the hajj met at the airport through the fbi agents, investigated, and met with osama bin laden's investigation the next day before the federal green jury.",hague investigating by fbi personnel,ur,urdu,0
fdcd1bd867,from cockpit country to st. ann's bay,from st. ann's bay to cockpit country.,en,english,2
7cfb3d272c,"look, it's your skin, but you're going to be in trouble if you don't get busy.",the boss will fire you if he sees you slacking off.,en,english,1
8c10229663,"every one hundred degrees, the spots of paint change their color, it can be red and change the color to blue.",the paint changes in accordance with the color.,ru,russian,0
a1971593d5,"we may not have had everything we wanted or saw that other people had, but it provided the necessary things we needed.",we had everything we really needed.,bg,bulgarian,0
2bf4b86d4f,twenty percent interest is incurred,could the interest be more than 20?,de,german,1
91b03f6bf4,"if possible, get to know the plot in advance.","try to understand the plot at first, if you can.",ar,arabic,0
4c25aa4c06,i hope your lord will eventually begin to realize that the foolish act of granting such a person to the kings committee against all my advice.,the adults just accepted my opinion and took corresponding actions.,zh,chinese,2
82f24422eb,majodi claims that he went to morocco's house to get married but could not do it due to being injured in a car accident there.,mazaudi claimed that he went with the plan as per the plan.,hi,hindi,2
6d63ae6397,the children would knock on the doors of their neighbors and,the kids could go to their neighbors the house.,sw,swahili,0
dd4f0d9f25,"""if you people only knew how fatally easy it is to poison some one by mistake, you wouldn't joke about it.",many people have poisoned someone by mistake.,en,english,1
0a3f52c547,"my own little corner of the world, policy wonking, is an example.",an example is policy wonking.,en,english,0
4b0eca3ccb,life in prison then he's available for parole if it's if it's life and a day then he's not eligible for parole so what you know let's quit bsing with the system,the system is corrupt because he won't be able to get parole if it's life and a day.,en,english,1
cad235551c,"the streets are crammed with vendors selling shrine offerings of sweets, curds, and coconut, as well as garlands and holy images.",vendors have lined the streets with torches and fires.,en,english,2
d8b3a4fb06,"north of mytilini, stop at the village of moria, where you will find the remains of a huge roman aqueduct surrounded by grazing goats.",there is nothing special to see in the village of moria.,en,english,2
ad5a79456e,"increased saving by current generations would expand the nation's capital stock, allowing future generations to better afford the nation's retirement costs while also enjoying higher standards of living.","current generations' increased saving would expand the nation's capital stock, allowing future generations to more easily afford the nation's retirement costs while also enjoying higher standards of living.",en,english,0
a7b0b9498c,"it's just the beginning!""",a great journey is about to begin!,en,english,1
1ec4761d9d,"i assure you, sir that i was completely aware of everything.",many details were hidden from me.,ru,russian,2
17c1f14619,"britain's best-selling tabloid, the sun , announced as a front-page world exclusive friday that texan model jerry hall has started divorce proceedings against aging rock star mick jagger at the high court in london.",the sun makes millions every year off fake news.,en,english,1
